Year,Date,Time,Station,Species,Number,RDC,numberdoublecount,Location,Low,Age,Sex,Age_det,Morph,Remark
2009,2009-09-07,15:44:00,2,MonPal,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:44:00,2,MonPal,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:52:00,1,MonPal,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:54:00,1,CK,2,1,2,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:59:00,1,BK,3,1,3,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:59:00,2,WS,3,1,3,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:59:00,2,WS,3,1,3,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,16:00:00,2,BE,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,16:00:00,2,BE,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,16:00:00,2,BE,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,16:00:00,2,BE,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,16:00:00,1,Mar,1,1,1,E2,0,NoValue,M,NoValue,NoValue,NoValue
2009,2009-09-07,16:00:00,1,Mon,1,1,1,E2,0,NoValue,M,NoValue,NoValue,NoValue
2009,2009-09-07,16:00:00,1,MonPal,1,1,1,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,16:01:00,1,MonPal,3,1,3,E2,0,NoValue,FC,NoValue,NoValue,NoValue
2009,2009-09-07,16:02:00,1,WS,1,0,0,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,16:02:00,2,ESPH,1,1,1,O,0,Juv,F,Juv,NoValue,NoValue
2009,2009-09-07,16:02:00,2,ESPH,1,1,1,O,0,Juv,F,Juv,NoValue,NoValue
2009,2009-09-07,16:02:00,2,HB,1911,1,1911,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,16:02:00,2,HB,1911,1,1911,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,16:03:00,1,BK,1,1,1,W1,0,NoValue,NoValue,NoValue,NoValue,NoValue
